id,case_id,year,height,width,size_inchsqr,price_usd,meanprice_year,min_price,max_price,medianprice_year,cnt_mean,cnt_max,cnt_median,cot_mean,cot_max,cot_median,ranking,fest_biennal,private_inst,public_inst,solo_show,group_show,age,estimate_min_usd,estimate_max_usd,estimate_center_usd,log10_estimate_geo_mean_usd,estimate_range_usd,Country - Austria,Country - China,Country - Dutch,Country - France,Country - Germany,Country - Japan,Country - Others,Country - Swiss,Country - UK,Country - USA,Continent - East Asia,Continent - Europe,Continent - North America,Continent - Others,Tier - 1,Tier - 2,Tier - 3,Tier - 4,Living - Argentina,Living - Australia,Living - Austria,Living - Brazil,Living - China,Living - Denmark,Living - Dutch,Living - France,Living - Germany,Living - India,Living - Italia,Living - Japan,Living - Mexico,Living - Norway,Living - Others,Living - South Africa,Living - Sweden,Living - Swiss,Living - Taiwan,Living - UK,Living - USA,price_usd_prev_5_mean,price_usd_prev_5_median,price_usd_prev_5_max,price_usd_prev_10_mean,price_usd_prev_10_median,price_usd_prev_10_max,price_same_size_prev_5_max,price_same_size_prev_5_mean,price_same_size_prev_5_median,price_same_size_prev_10_max,price_same_size_prev_10_mean,price_same_size_prev_10_median,matched_genre,matched_country,gender_NA,gender_female,gender_male,edu_NA,edu_abroad,edu_both,edu_domestic,degree_NA,grad,no_degree,undergrad,elite_school,elite_school_NA,non_elite_school,elite_award_not_received,elite_award_received,artwork_order,cnt_min,cot_min,Genre___Photography,Genre___Print,Genre___Sculpture,Genre___Painting,Genre___Others,price_usd_prev_5_min,price_usd_prev_10_min,price_same_size_prev_5_min,price_same_size_prev_10_min,eventdate,train
0,57649,1997,29,24,696,4160,246.772,0.7753623,4680.25,18.515385,4.854934,6.393678,4.854934,4.854934,6.393678,4.854934,38,0,2,7,4,5,67,5200,6500,5850,3.76445835,1300,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,46,3.3161905,3.3161905,0,0,0,1,1,3800,3800,2265.272592,2265.272592,24/04/1997,1
1,30468,1997,17,14,238,2340,13.870345,7.561086,23.11111,12.780289,9.038946,10.516807,9.038946,10.088465,12.1875,10.516807,550,0,3,3,3,3,41,1950,2600,2275,3.35250398,650,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,3,7.561086,7.561086,0,0,1,0,0,3250,3250,2041.97098,2041.97098,24/04/1997,1
2,85464,1997,28,22,616,3640,26.460571,1.3283702,86.53104,18.425526,6.321429,6.321429,6.321429,26.259993,86.53104,18.425526,857,0,1,2,1,2,70,3900,5200,4550,3.653533975,1300,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,8,6.321429,1.3283702,0,0,1,0,0,735,735,996.2468824,996.2468824,24/04/1997,1
3,27308,1997,32,39,1248,10832,18.206057,1.4957265,123.5515,10.004489,17.954947,26.624638,17.954947,22.126005,123.5515,11.151515,62,0,6,5,3,8,60,13209.7561,15851.70732,14530.73171,4.160485422,2641.95122,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32823,8155,133336,25191.14286,8155,133336,77262.78893,27815.08619,17532.28963,77262.78893,23102.91467,14228.53536,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,40,9.285256,1.4957265,0,0,0,1,1,4000,4000,3268.171296,3268.171296,22/10/1997,1
4,82202,1997,46,37,1702,13210,5.2556663,0.74235296,8.303173,5.572877,4.1007714,8.303173,3.0668402,5.2556663,8.303173,5.572877,89,1,2,11,5,9,59,10568,13210,11889,4.072447811,2642,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33234,33234,33234,33234,33234,33234,12982.45143,12982.45143,12982.45143,12982.45143,12982.45143,12982.45143,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,6,0.9323006,0.74235296,1,0,0,0,0,1840,1840,8566.588096,8566.588096,22/10/1997,1
5,60932,1997,50,43,2150,3434,30.392677,0.93106997,683.4722,4.8920965,3.8273137,6.3855634,3.6268187,12.564496,95.5,4.6285434,201,0,6,3,1,7,62,2377.384615,2641.538462,2509.461538,3.398978193,264.1538462,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7456.4,5284,13008,7456.4,5284,13008,13728.96131,8252.103297,7335.08319,13728.96131,8252.103297,7335.08319,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,21,1.7088372,0.93106997,0,0,0,1,1,1692,1692,2001.800436,2001.800436,22/10/1997,1
6,82203,1997,83,42,3486,3038,5.2556663,0.74235296,8.303173,5.572877,4.1007714,8.303173,3.0668402,5.2556663,8.303173,5.572877,89,1,2,11,5,9,59,1981.304348,2641.73913,2311.521739,3.359420561,660.4347826,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23222,23222,33234,23222,23222,33234,28944.86108,27767.62023,27767.62023,28944.86108,27767.62023,27767.62023,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,7,0.9323006,0.74235296,0,0,0,1,1,1940,1840,22345.80451,17545.90253,22/10/1997,1
7,60934,1997,71,24,1704,10171,30.392677,0.93106997,683.4722,4.8920965,3.8273137,6.3855634,3.6268187,12.564496,95.5,4.6285434,201,0,6,3,1,7,62,9906.818182,10567.27273,10237.04545,4.009948554,660.4545455,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7275.666667,4992,13008,7275.666667,4992,13008,8552.030088,6066.345989,5813.479886,8552.030088,6066.345989,5813.479886,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,22,1.7088372,0.93106997,0,0,0,1,1,1692,1692,1586.543229,1586.543229,22/10/1997,1
8,60933,1997,76,35,2660,5284,30.392677,0.93106997,683.4722,4.8920965,3.8273137,6.3855634,3.6268187,12.564496,95.5,4.6285434,201,0,6,3,1,7,62,5284,5944.5,5614.25,3.74853907,660.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7999.5,7581.5,13008,7999.5,7581.5,13008,16985.59864,11348.72375,11212.51659,16985.59864,11348.72375,11212.51659,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,23,1.7088372,0.93106997,0,0,0,1,1,1692,1692,2476.64612,2476.64612,22/10/1997,1
9,77841,1997,30,40,1200,9511,16.773626,3.0692532,120.78409,10.133603,8.5688,12.885618,8.34003,16.4662,120.78409,9.56554,503,1,1,0,1,1,49,7925.833333,10567.77778,9246.805556,3.961514304,2641.944444,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,13,4.7095237,3.0692532,0,0,1,0,0,2340,1751,3683.10384,2208.46152,22/10/1997,1
10,55612,1997,102,58,5916,5944,10.564161,0.7506579,37.52778,2.107183,1.0748817,1.0748817,1.0748817,13.569948,37.52778,2.107183,333,0,3,4,1,6,64,7925.333333,10567.11111,9246.222222,3.961486906,2641.777778,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31572,31572,31572,31572,31572,31572,222014.3465,222014.3465,222014.3465,222014.3465,222014.3465,222014.3465,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,6,1.0748817,1.0748817,0,0,0,1,1,3200,3200,4440.892136,4440.892136,24/11/1997,1
11,77846,1997,14,30,420,1849,16.773626,3.0692532,120.78409,10.133603,8.5688,12.885618,8.34003,16.4662,120.78409,9.56554,503,1,1,0,1,1,49,1320.714286,1981.071429,1650.892857,3.208854505,660.3571429,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9511,9511,9511,9511,9511,9511,3561.25014,3561.25014,3561.25014,3561.25014,3561.25014,3561.25014,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,18,4.7095237,3.0692532,0,0,1,0,0,2841,2340,1503.770688,1289.086344,24/11/1997,1
12,27326,1997,23,30,690,17173,18.206057,1.4957265,123.5515,10.004489,17.954947,26.624638,17.954947,22.126005,123.5515,11.151515,62,0,6,5,3,8,60,14531,17173,15852,4.198570836,2642,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33591.4,9985,133336,23396.25,8238,133336,42717.40734,15626.90155,9693.33321,42717.40734,11977.44366,7136.78247,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,51,9.285256,1.4957265,0,0,0,1,1,1636,1636,1032.051285,1032.051285,24/11/1997,1
13,77845,1997,28,40,1120,8586,16.773626,3.0692532,120.78409,10.133603,8.5688,12.885618,8.34003,16.4662,120.78409,9.56554,503,1,1,0,1,1,49,10567.38462,13209.23077,11888.30769,4.072422521,2641.846154,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5680,5680,9511,5680,5680,9511,9496.66704,7385.666792,7385.666792,9496.66704,7385.666792,7385.666792,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,17,4.7095237,3.0692532,0,0,1,0,0,2841,2340,4010.055168,3437.563584,24/11/1997,1
14,82205,1997,48,48,2304,6605,5.2556663,0.74235296,8.303173,5.572877,4.1007714,8.303173,3.0668402,5.2556663,8.303173,5.572877,89,1,2,11,5,9,59,6605,9247,7926,3.89293684,2642,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16494,13210,33234,16494,13210,33234,19130.51059,12950.96517,17574.36434,19130.51059,12950.96517,17574.36434,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,8,0.9323006,0.74235296,1,0,0,0,0,1940,1840,2148.020582,2148.020582,24/11/1997,1
15,66265,1997,79,39,3081,5680,2.1751297,0.37491646,4.1783853,1.972087,1.972087,1.972087,1.972087,1.1735017,1.972087,1.1735017,10859,0,0,1,0,0,69,3962.790698,5283.72093,4623.255814,3.660470503,1320.930233,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,2,1.972087,0.37491646,1,0,0,0,0,3000,3000,12873.60511,12873.60511,26/11/1997,1
